sinp                   lambda3  tanbeta  sinbma       widthA        MA            widthH        MH            FracWA      FracWH
0.1                    4        4        0.979795897  4.071183e+00  4.100000e+02  3.045047e-01  2.600000e+02  0.00992971  0.00117117
0.1                    4        5        0.99995      3.158401e+00  4.100000e+02  1.962670e-02  2.600000e+02  0.00770342  7.54873e-05
0.1                    4        5        0.9949874    3.446312e+00  4.100000e+02  7.135149e-02  2.600000e+02  0.00840564  0.000274429
0.1                    4        5        0.979795897  4.040722e+00  4.100000e+02  4.982939e-01  2.600000e+02  0.00985542  0.00191652
0.1                    4        6        0.99995      3.037033e+00  4.100000e+02  1.988391e-02  2.600000e+02  0.0074074   7.64766e-05
0.1                    4        6        0.9949874    3.463436e+00  4.100000e+02  8.096896e-02  2.600000e+02  0.0084474   0.000311419
0.1                    4        6        0.979795897  4.304555e+00  4.100000e+02  8.434602e-01  2.600000e+02  0.0104989   0.00324408
0.1                    4        8        0.99995      2.977406e+00  4.100000e+02  2.083924e-02  2.600000e+02  0.00726197  8.01509e-05
0.1                    4        8        0.9949874    3.909026e+00  4.100000e+02  1.206223e-01  2.600000e+02  0.00953421  0.000463932
0.1                    4        8        0.979795897  5.725792e+00  4.100000e+02  2.187728e+00  2.600000e+02  0.0139653   0.00841434
0.1                    6        1        0.99995      1.619851e+01  4.100000e+02  3.299382e-02  2.600000e+02  0.0395086   0.000126899
0.1                    6        1        0.9949874    1.629804e+01  4.100000e+02  3.604529e-01  2.600000e+02  0.0397513   0.00138636
0.1                    6        1        0.979795897  1.660060e+01  4.100000e+02  1.185371e+00  2.600000e+02  0.0404893   0.00455912
0.1                    6        2        0.99995      6.715878e+00  4.100000e+02  2.630361e-02  2.600000e+02  0.0163802   0.000101168
0.1                    6        2        0.9949874    6.901318e+00  4.100000e+02  4.848571e-01  2.600000e+02  0.0168325   0.00186484
0.1                    6        2        0.979795897  7.293226e+00  4.100000e+02  2.236197e+00  2.600000e+02  0.0177884   0.00860076
0.1                    6        3        0.99995      5.318631e+00  4.100000e+02  2.909922e-02  2.600000e+02  0.0129723   0.00011192
0.1                    6        3        0.9949874    5.641227e+00  4.100000e+02  6.158656e-01  2.600000e+02  0.0137591   0.00236871
0.1                    6        3        0.979795897  6.188840e+00  4.100000e+02  3.502357e+00  2.600000e+02  0.0150947   0.0134706
0.1                    6        4        0.99995      5.241560e+00  4.100000e+02  3.487660e-02  2.600000e+02  0.0127843   0.000134141
0.1                    6        4        0.9949874    5.794305e+00  4.100000e+02  7.650033e-01  2.600000e+02  0.0141325   0.00294232
0.1                    6        4        0.979795897  6.619644e+00  4.100000e+02  5.123845e+00  2.600000e+02  0.0161455   0.0197071
0.1                    6        5        0.99995      5.666858e+00  4.100000e+02  4.287266e-02  2.600000e+02  0.0138216   0.000164895
0.1                    6        5        0.9949874    6.582273e+00  4.100000e+02  9.373709e-01  2.600000e+02  0.0160543   0.00360527
0.1                    6        5        0.979795897  7.864583e+00  4.100000e+02  7.191829e+00  2.600000e+02  0.0191819   0.0276609
0.1                    6        6        0.99995      6.392721e+00  4.100000e+02  5.292907e-02  2.600000e+02  0.015592    0.000203573
0.1                    6        6        0.9949874    7.842695e+00  4.100000e+02  1.136579e+00  2.600000e+02  0.0191285   0.00437146
0.1                    6        6        0.979795897  9.823286e+00  4.100000e+02  9.791775e+00  2.600000e+02  0.0239592   0.0376607
0.1                    6        8        0.99995      8.513756e+00  4.100000e+02  7.914828e-02  2.600000e+02  0.0207653   0.000304416
0.1                    6        8        0.9949874    1.172128e+01  4.100000e+02  1.628262e+00  2.600000e+02  0.0285885   0.00626255
0.1                    6        8        0.979795897  1.610296e+01  4.100000e+02  1.694345e+01  2.600000e+02  0.0392755   0.0651671
0.1                    8        1        0.99995      1.771835e+01  4.100000e+02  4.407714e-02  2.600000e+02  0.0432155   0.000169527
0.1                    8        1        0.9949874    1.780508e+01  4.100000e+02  1.428617e+00  2.600000e+02  0.043427    0.00549468
0.1                    8        1        0.979795897  1.806923e+01  4.100000e+02  4.992899e+00  2.600000e+02  0.0440713   0.0192035
0.1                    8        2        0.99995      8.671523e+00  4.100000e+02  4.216930e-02  2.600000e+02  0.0211501   0.00016219
0.1                    8        2        0.9949874    8.969902e+00  4.100000e+02  1.882747e+00  2.600000e+02  0.0218778   0.00724133
0.1                    8        2        0.979795897  9.459886e+00  4.100000e+02  8.654963e+00  2.600000e+02  0.0230729   0.0332883
0.1                    8        3        0.99995      8.135478e+00  4.100000e+02  5.507231e-02  2.600000e+02  0.0198426   0.000211817
0.1                    8        3        0.9949874    8.723128e+00  4.100000e+02  2.315485e+00  2.600000e+02  0.0212759   0.00890571
0.1                    8        3        0.979795897  9.545864e+00  4.100000e+02  1.257666e+01  2.600000e+02  0.0232826   0.0483718
0.1                    8        4        0.99995      9.304820e+00  4.100000e+02  7.528631e-02  2.600000e+02  0.0226947   0.000289563
0.1                    8        4        0.9949874    1.034524e+01  4.100000e+02  2.782503e+00  2.600000e+02  0.0252323   0.0107019
0.1                    8        4        0.979795897  1.170798e+01  4.100000e+02  1.720833e+01  2.600000e+02  0.028556    0.0661859
0.1                    8        5        0.99995      1.134325e+01  4.100000e+02  1.019543e-01  2.600000e+02  0.0276665   0.000392132
0.1                    8        5        0.9949874    1.306533e+01  4.100000e+02  3.299417e+00  2.600000e+02  0.0318667   0.0126901
0.1                    8        5        0.979795897  1.526196e+01  4.100000e+02  2.273853e+01  2.600000e+02  0.0372243   0.0874559
0.1                    8        6        0.99995      1.404895e+01  4.100000e+02  1.349181e-01  2.600000e+02  0.0342657   0.000518916
