sinp                   lambda3  tanbeta  sinbma       widthA        MA            widthH        MH            FracWA    FracWH
0.1                    4        5        0.9949874    1.029259e+02  7.000000e+02  2.053439e+01  2.600000e+02  0.147037  0.0789784
0.1                    4        5        0.979795897  1.020711e+02  7.000000e+02  1.132652e+02  2.600000e+02  0.145816  0.435635
0.1                    4        6        0.99995      1.202870e+02  7.000000e+02  6.643283e-01  2.600000e+02  0.171839  0.00255511
0.1                    4        6        0.9949874    1.167696e+02  7.000000e+02  2.265619e+01  2.600000e+02  0.166814  0.0871392
0.1                    4        6        0.979795897  1.142653e+02  7.000000e+02  1.304001e+02  2.600000e+02  0.163236  0.501539
0.1                    4        8        0.99995      1.605625e+02  7.000000e+02  1.089730e+00  2.600000e+02  0.229375  0.00419127
0.1                    4        8        0.9949874    1.511494e+02  7.000000e+02  2.705896e+01  2.600000e+02  0.215928  0.104073
0.1                    4        8        0.979795897  1.431204e+02  7.000000e+02  1.652661e+02  2.600000e+02  0.204458  0.635639
0.1                    6        1        0.99995      1.033337e+02  7.000000e+02  1.107088e-01  2.600000e+02  0.14762   0.000425803
0.1                    6        1        0.9949874    1.034926e+02  7.000000e+02  7.943031e+00  2.600000e+02  0.147847  0.0305501
0.1                    6        1        0.979795897  1.044065e+02  7.000000e+02  2.925180e+01  2.600000e+02  0.149152  0.112507
0.1                    6        2        0.99995      7.894386e+01  7.000000e+02  1.252068e-01  2.600000e+02  0.112777  0.000481565
0.1                    6        2        0.9949874    7.923187e+01  7.000000e+02  9.532492e+00  2.600000e+02  0.113188  0.0366634
0.1                    6        2        0.979795897  8.016161e+01  7.000000e+02  4.175855e+01  2.600000e+02  0.114517  0.16061
0.1                    6        3        0.99995      7.867492e+01  7.000000e+02  1.723724e-01  2.600000e+02  0.112393  0.000662971
0.1                    6        3        0.9949874    7.874381e+01  7.000000e+02  1.086042e+01  2.600000e+02  0.112491  0.0417708
0.1                    6        3        0.979795897  7.950307e+01  7.000000e+02  5.234965e+01  2.600000e+02  0.113576  0.201345
0.1                    6        4        0.99995      8.354481e+01  7.000000e+02  2.409552e-01  2.600000e+02  0.11935   0.000926751
0.1                    6        4        0.9949874    8.308972e+01  7.000000e+02  1.215414e+01  2.600000e+02  0.1187    0.0467467
0.1                    6        4        0.979795897  8.338749e+01  7.000000e+02  6.266310e+01  2.600000e+02  0.119125  0.241012
0.1                    6        5        0.99995      9.108835e+01  7.000000e+02  3.294789e-01  2.600000e+02  0.130126  0.00126723
0.1                    6        5        0.9949874    8.970596e+01  7.000000e+02  1.345678e+01  2.600000e+02  0.128151  0.0517568
0.1                    6        5        0.979795897  8.946472e+01  7.000000e+02  7.294996e+01  2.600000e+02  0.127807  0.280577
0.1                    6        6        0.99995      1.009898e+02  7.000000e+02  4.374902e-01  2.600000e+02  0.144271  0.00168265
0.1                    6        6        0.9949874    9.818419e+01  7.000000e+02  1.477959e+01  2.600000e+02  0.140263  0.0568446
0.1                    6        6        0.979795897  9.631737e+01  7.000000e+02  8.322300e+01  2.600000e+02  0.137596  0.320088
0.1                    6        8        0.99995      1.267463e+02  7.000000e+02  7.111004e-01  2.600000e+02  0.181066  0.002735
0.1                    6        8        0.9949874    1.192279e+02  7.000000e+02  1.749065e+01  2.600000e+02  0.170326  0.0672717
0.1                    6        8        0.979795897  1.130135e+02  7.000000e+02  1.034971e+02  2.600000e+02  0.161448  0.398066
0.1                    8        1        0.99995      1.022864e+02  7.000000e+02  7.850548e-02  2.600000e+02  0.146123  0.000301944
0.1                    8        1        0.9949874    1.024430e+02  7.000000e+02  4.810018e+00  2.600000e+02  0.146347  0.0185001
0.1                    8        1        0.979795897  1.033504e+02  7.000000e+02  1.775502e+01  2.600000e+02  0.147643  0.0682885
0.1                    8        2        0.99995      7.697451e+01  7.000000e+02  8.302102e-02  2.600000e+02  0.109964  0.000319312
0.1                    8        2        0.9949874    7.725629e+01  7.000000e+02  5.709891e+00  2.600000e+02  0.110366  0.0219611
