tanbeta  WH            WH/MH      WA            WA/MA       Wa            WHc           Xsec        Xsec*3000/fb
1.1      2.684218e+01  0.0536844  1.225633e+00  0.00532884  3.742695e+00  3.658143e+01  8.8351e-05  265.053
1.25     2.752526e+01  0.0550505  1.223758e+00  0.00532069  3.742661e+00  3.235624e+01  0.00036999  1109.97
1.5      3.352245e+01  0.0670449  1.221792e+00  0.00531214  3.742625e+00  2.792462e+01  0.00069898  2096.94
2        5.723477e+01  0.11447    1.219837e+00  0.00530364  3.742590e+00  2.353744e+01  0.0006529   1958.7
3        1.365644e+02  0.273129   1.218441e+00  0.00529757  3.742565e+00  2.039709e+01  0.00028217  846.51
4        2.516788e+02  0.503358   1.217952e+00  0.00529544  3.742556e+00  1.929699e+01  0.00012966  388.98
5        4.007949e+02  0.80159    1.217726e+00  0.00529446  3.742552e+00  1.879350e+01  6.7175e-05  201.525
6        5.834724e+02  1.16694    1.217603e+00  0.00529393  3.742550e+00  1.851502e+01  3.7981e-05  113.943
