sinp                   lambda3  widthH        MH            widthA        MA            FracWH    FracWA
0.1                    2        5.059719e+01  5.000000e+02  2.202800e-01  2.300000e+02  0.101194  0.000957739
0.1                    3        1.002655e+02  5.000000e+02  1.146390e-01  2.300000e+02  0.200531  0.00049843
0.1                    4        1.720848e+02  5.000000e+02  9.461320e-02  2.300000e+02  0.34417   0.000411362
0.1                    6        3.821764e+02  5.000000e+02  3.114071e-01  2.300000e+02  0.764353  0.00135394
0.1                    8        6.808719e+02  5.000000e+02  8.706617e-01  2.300000e+02  1.36174   0.00378549
0.2                    2        5.274627e+01  5.000000e+02  8.642637e-01  2.300000e+02  0.105493  0.00375767
0.2                    3        1.048816e+02  5.000000e+02  4.545046e-01  2.300000e+02  0.209763  0.00197611
0.2                    4        1.802681e+02  5.000000e+02  3.768287e-01  2.300000e+02  0.360536  0.00163839
0.2                    6        4.007949e+02  5.000000e+02  1.217726e+00  2.300000e+02  0.80159   0.00529446
0.2                    8        7.143264e+02  5.000000e+02  3.386956e+00  2.300000e+02  1.42865   0.0147259
0.3                    2        5.628003e+01  5.000000e+02  1.885571e+00  2.300000e+02  0.11256   0.00819813
0.3                    3        1.124560e+02  5.000000e+02  1.011631e+00  2.300000e+02  0.224912  0.0043984
0.3                    4        1.936853e+02  5.000000e+02  8.459633e-01  2.300000e+02  0.387371  0.0036781
0.3                    6        4.313036e+02  5.000000e+02  2.639440e+00  2.300000e+02  0.862607  0.0114758
0.3                    8        7.691350e+02  5.000000e+02  7.266001e+00  2.300000e+02  1.53827   0.0315913
0.5                    2        6.718440e+01  5.000000e+02  4.716960e+00  2.300000e+02  0.134369  0.0205085
0.5                    3        1.356942e+02  5.000000e+02  2.716184e+00  2.300000e+02  0.271388  0.0118095
0.5                    4        2.347579e+02  5.000000e+02  2.336907e+00  2.300000e+02  0.469516  0.0101605
0.5                    6        5.245469e+02  5.000000e+02  6.442852e+00  2.300000e+02  1.04909   0.0280124
0.5                    8        9.365515e+02  5.000000e+02  1.703479e+01  2.300000e+02  1.8731    0.0740643
.70710678118654752440  2        8.299113e+01  5.000000e+02  7.808528e+00  2.300000e+02  0.165982  0.0339501
.70710678118654752440  3        1.689533e+02  5.000000e+02  5.140826e+00  2.300000e+02  0.337907  0.0223514
.70710678118654752440  4        2.932528e+02  5.000000e+02  4.635124e+00  2.300000e+02  0.586506  0.0201527
.70710678118654752440  6        6.568637e+02  5.000000e+02  1.010972e+01  2.300000e+02  1.31373   0.0439553
.70710678118654752440  8        1.173824e+03  5.000000e+02  2.423231e+01  2.300000e+02  2.34765   0.105358
