MA BR(a->b+b~) Xsec effective Xsec (Xsec*BR)
1000 300 300 9.544914e-01 0.0287559 0.0274473
1000 300 350 7.746404e-01 0.0288622 0.0223578
1000 250 350 9.544467e-01 0.0281465 0.0268643
1000 300 400 9.544995e-01 0.0346895 0.0331111
1000 250 400 9.544780e-01 0.028071600000000002 0.0267937
1000 300 450 7.746404e-01 0.035072200000000005 0.0271683
1000 250 450 9.544468e-01 0.0283487 0.0270573
1000 300 500 0
1000 350 200 4.031407e-03 0.0261141 0.000105277
1000 250 500 9.543878e-01 0.0209683 0.0200119
1000 350 250 9.544995e-01 0.0263147 0.0251174
1000 350 300 4.031407e-03 0.0265301 0.000106954
1000 300 200 0.020699000000000002 0
1000 350 350 4.031407e-03 0.029840699999999998 0.0001203
1000 350 400 4.031407e-03 0.0267294 0.000107757
1000 300 250 0.020738399999999997 0
1000 350 450 4.031407e-03 0.0301057 0.000121368
1000 350 500 4.031407e-03 0.0275619 0.000111113
1000 300 300 0.0168666 0
1000 400 250 1.460607e-03 0.0304183 4.44292e-05
1000 400 300 1.460607e-03 0.0225684 3.29636e-05
1000 300 350 0.0174276 0
1000 400 350 1.460607e-03 0.0308105 4.5002e-05
1000 400 400 1.460607e-03 0.0228465 3.33698e-05
1000 300 400 0.0175521 0
1000 400 450 1.460607e-03 0.0312625 4.56622e-05
1000 400 500 1.460607e-03 0.0237234 3.46506e-05
1000 450 250 1.156556e-03 0.0187949 2.17374e-05
1000 300 450 0.01393387 0
1000 450 300 9.544995e-01 0.0304766 0.0290899
1000 450 350 1.156556e-03 0.0189586 2.19267e-05
1000 450 400 1.156556e-03 0.01913305 2.21284e-05
1000 300 500 0.01465441 0
1000 450 450 1.156556e-03 0.028994699999999998 3.3534e-05
1000 350 200 4.031407e-03 0.01724868 6.95364e-05
1000 450 500 1.156556e-03 0.0296954 3.43444e-05
1000 350 250 4.031407e-03 0.0263646 0.000106286
1000 350 300 4.031407e-03 0.0264207 0.000106513
1000 350 350 4.031407e-03 0.0266128 0.000107287
1000 350 400 4.031407e-03 0.026680099999999998 0.000107558
1000 350 450 4.031407e-03 0.0268641 0.0001083
1000 350 500 4.031407e-03 0.0275729 0.000111158
1000 400 250 1.460607e-03 0.0225538 3.29422e-05
1000 400 300 1.460607e-03 0.022609 3.30229e-05
1000 400 350 1.460607e-03 0.0227074 3.31666e-05
1000 400 400 1.460607e-03 0.022851800000000002 3.33775e-05
1000 400 450 1.460607e-03 0.023110899999999997 3.37559e-05
1000 400 500 1.460607e-03 0.023648799999999998 3.45416e-05
1000 450 250 1.156556e-03 0.01884858 2.17994e-05
1000 450 300 1.156556e-03 0.01889106 2.18486e-05
1000 450 350 1.156556e-03 0.01898018 2.19516e-05
1000 450 400 1.156556e-03 0.019236359999999997 2.22479e-05
1000 450 450 1.156556e-03 0.0192709 2.22879e-05
1000 450 500 1.156556e-03 0.019864140000000002 2.2974e-05
