MHs   MDM   MZp   BR(Hs->hh)    Xsec
270   400   800   3.071889e-01  0.0003654478400079015
270   400   900   3.074818e-01  0.002791841340032525
270   400   1000  3.077161e-01  0.004430022367339531
270   400   1250  3.081378e-01  0.004993457010023738
270   400   1500  3.084188e-01  0.004440882420010904
270   400   1750  3.086195e-01  0.0034775856000048714
270   400   2000  3.087701e-01  0.002495630500002248
270   400   2500  3.089808e-01  0.0011497174030004956
270   400   3000  3.091212e-01  0.0004894060000001201
270   400   3500  3.092216e-01  0.00020514202460003307
270   400   4000  3.092968e-01  8.45744241000108e-05
270   400   4500  3.093553e-01  3.428227238000413e-05
270   400   5000  3.094021e-01  1.3749176950001933e-05
270   500   900   3.074818e-01  6.819642700179798e-05
270   500   1000  3.077161e-01  0.00019728589000259474
270   500   1250  3.081378e-01  0.002316302853012813
270   500   1500  3.084188e-01  0.0025226740400079665
270   500   1750  3.086195e-01  0.0022310306900039534
270   500   2000  3.087701e-01  0.0017683933650018916
270   500   2500  3.089808e-01  0.0009180763040004458
270   500   3000  3.091212e-01  0.00041799697350010715
270   500   3500  3.092216e-01  0.00018182666980002795
270   500   4000  3.092968e-01  7.688515480000813e-05
270   500   4500  3.093553e-01  3.171216606000269e-05
270   500   5000  3.094021e-01  1.2832854100001267e-05
270   600   1250  3.081378e-01  0.000324081610002055
270   600   1500  3.084188e-01  0.0012613299810044923
270   600   1750  3.086195e-01  0.0013392332650029606
270   600   2000  3.087701e-01  0.001179723764001561
270   600   2500  3.089808e-01  0.0006993135830003825
270   600   3000  3.091212e-01  0.00034737173710009577
270   600   3500  3.092216e-01  0.00015727601390002488
270   600   4000  3.092968e-01  6.870565290000693e-05
270   600   4500  3.093553e-01  2.8894104640002126e-05
270   600   5000  3.094021e-01  1.1902379620000803e-05
270   700   1250  3.081378e-01  1.991934450024306e-05
270   700   1500  3.084188e-01  0.000308253131357213
270   700   1750  3.086195e-01  0.0007098127410017535
270   700   2000  3.087701e-01  0.00073455394900116
270   700   2500  3.089808e-01  0.0005114843580003316
270   700   3000  3.091212e-01  0.00027866935580008476
270   700   3500  3.092216e-01  0.000133525426000022
270   700   4000  3.092968e-01  6.030012520000579e-05
270   700   4500  3.093553e-01  2.6039367300001685e-05
270   700   5000  3.094021e-01  1.0861768370000594e-05
270   800   1500  3.084188e-01  1.533387500010559e-05
270   800   1750  3.086195e-01  0.00023409968405062133
270   800   2000  3.087701e-01  0.0004121305902007275
270   800   2500  3.089808e-01  0.00035815663220026923
270   800   3000  3.091212e-01  0.00021630510750007535
270   800   3500  3.092216e-01  0.00011075876156001981
270   800   4000  3.092968e-01  5.2008185230005136e-05
270   800   4500  3.093553e-01  2.3163501950001436e-05
270   800   5000  3.094021e-01  9.820285750000446e-06
270   900   1750  3.086195e-01  1.3256975000054681e-05
270   900   2000  3.087701e-01  0.00016301844290030797
270   900   2500  3.089808e-01  0.0002387475450002102
270   900   3000  3.091212e-01  0.00016272801840006403
270   900   3500  3.092216e-01  8.960514561001758e-05
270   900   4000  3.092968e-01  4.4192886740004544e-05
270   900   4500  3.093553e-01  2.0167137400001206e-05
270   900   5000  3.094021e-01  8.805821531000349e-06
270   1000  2000  3.087701e-01  1.4219393650236657e-05
270   1000  2500  3.089808e-01  0.000145299120900139
270   1000  3000  3.091212e-01  0.00011843454930005294
270   1000  3500  3.092216e-01  7.074267647001555e-05
270   1000  4000  3.092968e-01  3.6758893970004044e-05
270   1000  4500  3.093553e-01  1.7432160232001036e-05
270   1000  5000  3.094021e-01  7.76946589700029e-06
300   200   500   3.409659e-01  0.016376410680763905
300   200   600   3.417107e-01  0.02172777754854606
300   200   700   3.422425e-01  0.021059370392437268
300   200   800   3.426411e-01  0.01965073000968254
300   200   900   3.429511e-01  0.01901280864017729
300   200   1000  3.431990e-01  0.01816019630011491
300   200   1250  3.436452e-01  0.014048219100040693
300   200   1500  3.439425e-01  0.009639568900015629
300   200   1750  3.441548e-01  0.006202835320006509
300   200   2000  3.443141e-01  0.003932537390002856
300   200   2500  3.445369e-01  0.0015571087780006398
300   200   3000  3.446855e-01  0.0006188576800001666
300   200   3500  3.447916e-01  0.0002461046004000561
300   200   4000  3.448712e-01  9.90985270000226e-05
300   200   4500  3.449331e-01  3.963316727001116e-05
300   200   5000  3.449826e-01  1.5684188893006533e-05
300   300   500   3.409659e-01  0.00019119060002674448
300   300   600   3.417107e-01  0.0006309659700296898
300   300   700   3.422425e-01  0.006034857220131801
300   300   800   3.426411e-01  0.008940268618111829
300   300   900   3.429511e-01  0.009457267848111144
300   300   1000  3.431990e-01  0.009165922510081905
300   300   1250  3.436452e-01  0.008312123900033065
300   300   1500  3.439425e-01  0.006568280760013323
300   300   1750  3.441548e-01  0.004690684380005793
300   300   2000  3.443141e-01  0.003174465180002488
300   300   2500  3.445369e-01  0.0013510104780005612
300   300   3000  3.446855e-01  0.0005578343230001412
