mh3   mh4  mh2   mhc   sinp  tanbeta  lap1  lap2  lam3  sinbma  gpxd  mxd  CMS                CMSerr     ATLAS        ATLASerr     CMS/ATLAS
700   500  700   700   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.01462035606      2.606e-05  0.0146686    1.60928e-05  0.996711
800   100  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.16849552671      0.0003321  0.168055     0.000157695  1.00262
800   150  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.128832076826     0.000115   0.128773     0.000124565  1.00046
800   200  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.09985082847      0.0002675  0.100002     0.00012637   0.998488
800   250  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.07690243234      0.0001057  0.0768936    7.19003e-05  1.00011
800   300  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.06190759318      0.000159   0.0620643    8.80514e-05  0.997475
800   350  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.052589643106     0.0001367  0.0525752    7.02304e-05  1.00027
800   400  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.03779279319      6.88e-05   0.0378218    3.73013e-05  0.999233
800   450  800   800   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0265112952       3.665e-05  0.0265444    3.39087e-05  0.998753
900   100  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.10453108232      0.0001615  0.104845     0.000113445  0.997006
900   150  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.079729473088     0.0001072  0.0798663    9.30371e-05  0.998287
900   200  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.06225380777      6.746e-05  0.0623215    8.14144e-05  0.998914
900   250  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.04920218885      0.0001207  0.0491692    5.45809e-05  1.00067
900   300  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.04096446922      0.000116   0.0410239    5.78104e-05  0.998551
900   350  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0367291981       6.894e-05  0.0368357    3.8501e-05   0.997109
900   400  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.02785329396      4.892e-05  0.0279762    3.14889e-05  0.995607
900   450  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.02112462318      2.127e-05  0.0211835    3.32101e-05  0.997221
900   500  900   900   0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.01569375568      1.429e-05  0.0157174    1.79671e-05  0.998496
1000  100  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.060050797635     0.0001068  0.0598653    6.46079e-05  1.0031
1000  150  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.046424387846     7.605e-05  0.0463119    5.60371e-05  1.00243
1000  200  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.036637065123     6.085e-05  0.0366637    4.583e-05    0.999274
1000  250  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.030200945083     6.062e-05  0.0303244    4.48757e-05  0.995929
1000  300  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.026247112267     5.159e-05  0.0263051    3.2805e-05   0.997796
1000  400  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.01935297672      3.536e-05  0.0193692    2.69826e-05  0.999162
1000  450  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.01539017198      2.8e-05    0.0154043    1.81242e-05  0.999083
