mh3 mh4 mh2 mhc sinp tanb lap1 lap2 lam3 sinbma gpxd mxd CMS ATLAS CMS/ATLAS
===================================================================================
1100 100 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.029559762481	0.0291715	1.01331
700 500 700 700 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.01469879806	0.014595	1.00711
500 100 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.70844564747	0.706439	1.00284
500 150 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.553279146798	0.551282	1.00362
1100 150 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.024060896814	0.023981	1.00333
1300 400 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0053699629894	0.00539087	0.996122
800 100 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.16839352671	0.167515	1.00524
500 200 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.40310245652	0.40097	1.00532
1300 450 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0047081487671	0.00471925	0.997648
800 150 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.128144276826	0.128954	0.993721
800 200 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.10016559555	0.0996988	1.00468
1100 200 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.020071703818	0.0201023	0.998478
500 250 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.2570497272	0.25577	1.005
800 250 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.07738413234	0.0767647	1.00807
500 300 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.14068267644	0.140009	1.00481
1300 500 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.004191439377	0.0041518	1.00955
500 350 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.05886239565	0.057758	1.01912
800 300 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.06240693318	0.0616108	1.01292
1100 250 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.017946009624	0.017865	1.00453
500 400 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.01789432756	0.0179735	0.995595
1400 100 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0279422207877	0.0271496	1.02919
800 350 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.053033893106	0.0521763	1.01644
1400 150 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0205345023904	0.0201889	1.01712
1100 300 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.016511440539	0.0162229	1.01779
500 450 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0104290526215	0.0103545	1.0072
500 500 500 500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 4.65997808476e-06	4.67778e-06	0.996194
800 400 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.03782303219	0.0374921	1.00883
600 100 600 600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.41618861965	0.411836	1.01057
1100 350 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0156623060901	0.0156544	1.00051
1400 200 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0162516559643	0.0161878	1.00394
600 150 600 600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.326479950415	0.323441	1.0094
800 450 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0267614952	0.0265567	1.00771
1100 400 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.01300093566	0.0128769	1.00963
800 500 800 800 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.01775958717	0.0177826	0.998706
600 200 600 600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.2514045463	0.24963	1.00711
1400 250 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0096405654346	0.00947432	1.01755
1100 450 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.010773791611	0.0106325	1.01329
1400 300 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0065759953106	0.00658051	0.999314
600 250 600 600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.18038486047	0.179007	1.0077
900 100 900 900 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.10500008232	0.104745	1.00244
900 150 900 900 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.079852373088	0.0798864	0.999574
600 300 600 600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.12565778025	0.124517	1.00916
1100 500 1100 1100 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.008914396726	0.00883781	1.00867
600 350 600 600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.083947649821	0.0834086	1.00646
900 200 900 900 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.06228180777	0.0621295	1.00245
1400 350 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.00544971427	0.00550565	0.98984
900 250 900 900 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.04910945488	0.0489923	1.00239
1200 100 1200 1200 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0130355653725	0.0130325	1.00024
1400 400 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0039431441109	0.00391985	1.00594
900 300 900 900 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.04059836922	0.0408635	0.993512
900 350 900 900 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0369972981	0.0363582	1.01758
1200 150 1200 1200 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0119320109805	0.0119024	1.00249
1400 450 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0033009914993	0.00325077	1.01545
1400 500 1400 1400 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0029029476332	0.00287481	1.00979
900 400 900 900 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.02808465396	0.0276819	1.01455
1200 200 1200 1200 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0112533304763	0.0112172	1.00322
1500 100 1500 1500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0633936937599	0.0631373	1.00406
1200 250 1200 1200 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0106214091259	0.0106695	0.995493
1500 200 1500 1500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0322890094976	0.0312534	1.03314
1200 500 1200 1200 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.006136146819	0.00612154	1.00239
1300 100 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.011610259471	0.0115351	1.00652
1500 500 1500 1500 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0022023949586	0.00220999	0.996563
1300 150 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0102838125491	0.0102581	1.00251
1600 100 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.125793442941	0.122678	1.0254
1600 150 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0837265849952	0.0820021	1.02103
1300 200 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0097281568883	0.00965193	1.0079
1600 200 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0588439630639	0.0567499	1.0369
1600 250 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0284679096643	0.0278339	1.02278
1300 250 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0078105166955	0.00784219	0.995961
1600 300 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0152761800908	0.0150571	1.01455
1300 300 1300 1300 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0068410220878	0.0068687	0.99597
1600 350 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0113038933523	0.0112774	1.00235
1600 400 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.0056206003075	0.00566297	0.992518
1600 450 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.00329084704915	0.0032828	1.00245
1600 500 1600 1600 0.35 1.0 3.0 3.0 3.0 1.0 1.0 1.0 0.00216719504334	0.00216888	0.999223
