MA   Ma   widthA        widtha        FracWA      FracWa
600  70   4.751743e+00  5.059100e-06  0.00791957  7.22729e-08
600  80   4.722856e+00  5.793768e-06  0.00787143  7.24221e-08
600  90   4.696583e+00  6.527182e-06  0.00782764  7.25242e-08
600  95   4.685499e+00  6.893543e-06  0.00780916  7.25636e-08
600  100  4.674539e+00  7.259721e-06  0.0077909   7.25972e-08
600  150  4.604848e+00  1.091546e-05  0.00767475  7.27697e-08
600  200  4.598967e+00  1.456600e-05  0.00766495  7.283e-08
600  250  4.627384e+00  1.821527e-05  0.00771231  7.28611e-08
600  300  4.621333e+00  2.706792e-05  0.00770222  9.02264e-08
650  50   3.920408e+00  3.582909e-06  0.0060314   7.16582e-08
650  60   3.884802e+00  4.322536e-06  0.00597662  7.20423e-08
650  70   4.047625e+00  5.059100e-06  0.00622712  7.22729e-08
650  80   4.023285e+00  5.793768e-06  0.00618967  7.24221e-08
650  90   4.004161e+00  6.527182e-06  0.00616025  7.25242e-08
650  95   3.995560e+00  6.893543e-06  0.00614702  7.25636e-08
650  100  3.989387e+00  7.259721e-06  0.00613752  7.25972e-08
650  150  3.954229e+00  1.091546e-05  0.00608343  7.27697e-08
650  200  3.977630e+00  1.456600e-05  0.00611943  7.283e-08
650  250  4.058119e+00  1.821488e-05  0.00624326  7.28595e-08
650  300  4.141679e+00  2.703735e-05  0.00637181  9.01245e-08
700  50   3.457391e+00  3.582909e-06  0.00493913  7.16582e-08
700  60   3.450602e+00  4.322536e-06  0.00492943  7.20423e-08
700  70   3.577253e+00  5.059100e-06  0.00511036  7.22729e-08
700  80   3.524284e+00  5.793768e-06  0.00503469  7.24221e-08
700  90   3.508831e+00  6.527182e-06  0.00501262  7.25242e-08
700  95   3.502162e+00  6.893543e-06  0.00500309  7.25636e-08
700  100  3.497329e+00  7.259721e-06  0.00499618  7.25972e-08
700  150  3.477599e+00  1.091546e-05  0.004968    7.27697e-08
700  200  3.507057e+00  1.456600e-05  0.00501008  7.283e-08
700  250  3.588098e+00  1.821466e-05  0.00512585  7.28586e-08
700  300  3.699015e+00  2.701611e-05  0.00528431  9.00537e-08
