MZp   Ma0   263400xsec  263400xsecerr  320900xsec  320900xsecerr  320900/263400xsec  320900/263400xsecerr
3000  1000  0.0002596   1.178e-06      0.0001401   8.834e-07      0.539676           0.00419251
3000  300   0.0009145   8.686e-06      0.0005075   2.849e-06      0.554948           0.00612277
3000  500   0.0004016   2.291e-06      0.0002192   1.589e-06      0.545817           0.00503492
3000  800   0.0003078   1.483e-06      0.0001654   9.997e-07      0.537362           0.00415354
3500  1000  0.0001032   5.014e-07      4.283e-05   3.109e-07      0.415019           0.00362513
3500  300   0.0003364   1.59e-06       0.0001488   9.566e-07      0.442331           0.00352948
3500  500   0.0001491   1.01e-06       6.511e-05   7.386e-07      0.436687           0.00576973
3500  800   0.000119    6.4e-07        5.068e-05   4.147e-07      0.425882           0.0041702
4000  1000  4.117e-05   2.324e-07      1.128e-05   1.471e-07      0.273986           0.00389336
4000  300   0.0001299   6.517e-07      4.263e-05   4.408e-07      0.328176           0.00377171
4000  500   5.734e-05   5.23e-07       1.785e-05   4.034e-07      0.311301           0.0075866
4000  800   4.671e-05   3.082e-07      1.385e-05   2.119e-07      0.29651            0.00494039
